"","quants",""
"608",0.607,0.273040575791239
"609",0.608,0.273973104997175
"610",0.609,0.275016913188197
"611",0.61,0.276046624457008
"612",0.611,0.2770671340982
"613",0.612,0.278081207189892
"614",0.613,0.279022778336415
"615",0.614,0.280102860483853
"616",0.615,0.28110979843632
"617",0.616,0.282176435542137
"618",0.617,0.283182919811587
"619",0.618,0.284107287926085
"620",0.619,0.285187333285476
"621",0.62,0.286267479924564
"622",0.621,0.287312905831808
"623",0.622,0.288287298217934
"624",0.623,0.289366865444117
"625",0.624,0.290363278371677
"626",0.625,0.291326457281181
"627",0.626,0.292318143558384
"628",0.627,0.293262649168108
"629",0.628,0.294395087228853
"630",0.629,0.295488288512891
"631",0.63,0.296350234477433
"632",0.631,0.297338025660251
"633",0.632,0.298269237907057
"634",0.633,0.299406592312215
